5000 9996
10 4171 2
10 4337 41
10 4355 18
10 4434 76
10 4438 22
10 4478 93
10 4485 78
10 4538 56
10 4757 1
10 4806 97
11 12 4
11 13 10
11 17 18
11 18 38
11 19 52
11 37 51
11 61 11
11 78 8
11 81 35
11 98 30
11 110 10
11 133 59
11 136 9
11 152 83
11 155 9
11 172 41
11 175 58
11 183 14
11 209 79
11 268 89
11 273 60
11 280 3
11 281 92
11 290 61
11 325 87
11 334 50
11 360 37
11 371 62
11 389 71
11 393 93
11 408 73
11 424 17
11 458 63
11 475 70
11 508 40
11 515 46
11 527 64
11 531 66
11 569 86
11 652 98
11 659 8
11 694 88
11 751 2
11 774 87
11 790 50
11 874 47
11 895 91
11 896 53
11 925 55
11 1020 34
11 1032 55
11 1063 87
11 1087 79
11 1099 30
11 1210 89
11 1285 23
11 1319 9
11 1320 22
11 1352 84
11 1387 39
11 1403 92
11 1622 53
11 1643 43
11 1662 24
11 1728 56
11 1772 44
11 1776 74
11 1848 20
11 1858 10
11 1927 33
11 1958 36
11 2000 12
11 2026 29
11 2213 26
11 2347 40
11 2349 53
11 2588 43
11 2600 7
11 2615 22
11 2620 57
11 2840 55
11 2893 49
11 2965 69
11 3091 78
11 3154 91
11 3183 85
11 3353 10
11 3374 85
11 3463 3
11 3569 48
11 3589 24
11 3605 66
11 3651 58
11 3724 39
11 4016 78
11 4052 74
11 4070 44
11 4163 23
11 4256 76
11 4406 32
11 4439 27
11 4627 31
11 4642 27
11 4706 37
11 4880 6
12 17 89
12 20 99
12 28 3
12 31 53
12 40 80
12 46 91
12 60 40
12 70 17
12 101 47
12 114 37
12 142 56
12 143 49
12 166 97
12 178 38
12 233 34
12 248 61
12 276 35
12 288 32
12 306 21
12 315 32
12 373 36
12 438 8
12 563 64
12 632 97
12 633 86
12 637 36
12 727 13
12 730 51
12 834 5
12 860 61
12 888 51
12 985 63
12 1187 62
12 1215 33
12 1231 6
12 1304 77
12 1366 38
12 1406 78
12 1594 85
12 1647 23
12 1689 23
12 1696 30
12 1796 78
12 1813 26
12 1823 65
12 1859 22
12 1872 89
12 1910 87
12 2104 24
12 2159 27
12 2218 100
12 2222 59
12 2317 90
12 2385 58
12 2413 1
12 2426 16
12 2441 29
12 2473 82
12 2554 5
12 2576 37
12 2582 96
12 2707 34
12 2899 17
12 3200 83
12 3273 22
12 3377 51
12 3389 11
12 3438 51
12 3472 49
12 3507 23
12 3750 48
12 3784 54
12 3988 82
12 3998 14
12 4084 95
12 4320 79
12 4424 36
12 4470 78
12 4503 91
12 4520 92
12 4610 45
12 4900 49
13 33 26
13 43 7
13 56 71
13 77 64
13 111 69
13 116 45
13 130 19
13 148 3
13 162 50
13 174 14
13 183 1
13 192 66
13 253 84
13 288 66
13 290 13
13 375 88
13 390 42
13 479 81
13 577 87
13 599 13
13 699 45
13 705 64
13 761 96
13 857 24
13 909 35
13 950 45
13 1003 73
13 1057 37
13 1094 42
13 1153 6
13 1159 97
13 1174 9
13 1364 100
13 1477 63
13 1612 26
13 1616 25
13 1742 70
13 1812 25
13 1842 100
13 2045 41
13 2073 21
13 2116 72
13 2123 13
13 2439 13
13 2551 23
13 2766 9
13 2997 7
13 3141 95
13 3188 7
13 3502 4
13 3602 53
13 3618 71
13 3653 32
13 3731 2
13 3819 67
13 3887 33
13 3925 46
13 3968 73
13 4288 57
13 4512 53
13 4603 8
14 15 16
14 62 50
14 69 95
14 74 92
14 100 21
14 150 66
14 152 81
14 206 96
14 232 40
14 237 51
14 239 27
14 309 80
14 370 87
14 384 20
14 497 47
14 510 65
14 532 42
14 541 38
14 696 83
14 777 66
14 804 86
14 918 41
14 986 40
14 1031 64
14 1107 58
14 1145 84
14 1256 86
14 1305 93
14 1323 74
14 1324 56
14 1418 47
14 1469 94
14 1470 92
14 1534 41
14 1747 21
14 1766 52
14 1789 16
14 1964 21
14 2013 75
14 2100 78
14 2137 12
14 2506 50
14 2543 74
14 2589 58
14 2632 40
14 2807 98
14 2853 86
14 3082 50
14 3092 25
14 3160 8
14 3161 61
14 3332 72
14 3433 100
14 3498 19
14 3913 32
14 3951 9
14 4036 84
14 4154 97
14 4455 52
14 4479 77
14 4629 58
14 4646 39
14 4703 99
15 64 37
15 75 30
15 114 38
15 177 37
15 212 44
15 304 64
15 452 11
15 534 48
15 584 30
15 646 6
15 775 21
15 977 20
15 1132 24
15 1309 95
15 1618 69
15 1630 29
15 1751 46
15 1922 9
15 2082 50
15 2120 69
15 2190 78
15 2210 62
15 2461 77
15 2703 23
15 2801 8
15 2909 89
15 3026 99
15 3258 5
15 3263 12
15 3654 99
15 4339 71
15 4469 40
15 4628 27
15 4709 52
16 41 44
16 91 82
16 128 57
16 174 74
16 285 52
16 930 38
16 1243 29
16 1280 88
16 2495 81
16 2629 69
16 2854 74
16 3336 74
16 3516 68
16 4369 88
17 242 84
17 273 100
17 311 68
17 1270 85
17 2164 88
17 2313 7
17 2336 66
17 3827 56
17 4318 52
17 4725 91
18 83 13
18 135 82
18 143 9
18 211 22
18 472 17
18 503 74
18 1332 74
18 1354 31
18 1453 94
18 2110 80
18 2552 30
18 2914 75
19 100 33
19 128 17
19 257 32
19 259 24
19 569 47
19 710 10
19 1178 17
19 1711 36
19 2676 77
19 2872 9
19 4174 81
20 21 34
20 433 14
20 836 8
20 2967 91
20 3559 17
20 3756 59
20 4217 67
21 31 53
21 47 15
21 74 40
21 86 95
21 117 12
21 222 55
21 236 76
21 283 81
21 338 95
21 587 96
21 756 30
21 772 42
21 954 51
21 1033 91
21 1138 97
21 1212 77
21 1448 30
21 1531 60
21 1693 34
21 1819 19
21 2265 31
21 3302 1
21 3872 97
21 4467 69
21 4657 29
21 4861 14
22 52 33
22 67 60
22 221 47
22 249 13
22 305 11
22 411 52
22 608 53
22 628 38
22 738 36
22 1046 86
22 1455 82
22 1786 61
22 2092 76
22 2631 64
22 3514 77
22 3606 61
23 54 16
23 65 22
23 70 59
23 123 6
23 146 65
23 147 89
23 156 2
23 243 74
23 285 17
23 292 82
23 323 94
23 339 89
23 501 83
23 538 72
23 545 44
23 601 84
23 681 1
23 809 20
23 845 47
23 919 11
23 928 26
23 1299 91
23 1515 50
23 1745 31
23 1764 59
23 1952 66
23 2057 74
23 2084 49
23 2101 47
23 2274 74
23 2560 96
23 2633 54
23 3004 37
23 3283 89
23 3497 13
23 3674 100
23 3707 37
23 4015 85
23 4058 85
23 4143 22
23 4387 57
24 34 72
24 55 45
24 73 79
24 79 89
24 94 79
24 126 71
24 136 93
24 146 61
24 248 58
24 250 12
24 253 56
24 265 26
24 354 48
24 418 20
24 527 31
24 575 35
24 597 64
24 641 90
24 685 40
24 765 5
24 778 81
24 845 12
24 1193 93
24 1397 94
24 1513 6
24 1533 89
24 1580 67
24 1590 75
24 1616 18
24 1623 49
24 1668 74
24 1852 63
24 1938 97
24 1967 81
24 2041 48
24 2096 32
24 2161 12
24 2180 48
24 2260 88
24 2280 29
24 2369 91
24 2577 25
24 2593 17
24 2634 22
24 2707 96
24 2941 2
24 2951 7
24 2959 42
24 3079 8
24 3240 55
24 3266 63
24 3432 24
24 3824 23
24 3830 78
24 3931 54
24 3977 37
24 4331 47
24 4529 8
24 4666 19
25 62 98
25 66 23
25 161 95
25 214 18
25 223 89
25 282 24
25 296 62
25 689 44
25 753 32
25 978 12
25 1110 28
25 1646 79
25 1822 27
25 2269 14
25 2691 36
25 4159 48
25 4308 60
25 4673 28
25 4728 2
26 48 91
26 83 94
26 218 39
26 269 54
26 422 69
26 466 27
26 992 84
26 1238 90
26 1304 64
26 1642 2
26 1733 43
26 1788 85
26 1911 27
26 2143 49
26 2488 41
26 2776 82
26 2992 1
26 3591 66
27 36 66
27 44 55
27 73 26
27 75 66
27 105 46
27 175 47
27 292 68
27 407 41
27 705 45
27 777 84
27 1206 24
27 1593 13
27 1700 34
27 2903 78
27 4333 77
27 4690 13
28 1653 73
28 3684 17
29 72 89
29 84 67
29 99 73
29 109 25
29 298 58
29 349 26
29 480 12
29 654 30
29 675 3
29 939 99
29 952 58
29 1127 45
29 1135 91
29 1247 35
29 1495 1
29 2306 55
29 3001 96
29 3156 50
29 3243 46
29 3271 41
29 3276 98
29 3299 33
29 4164 20
29 4459 71
29 4983 71
30 189 49
30 271 91
30 544 38
30 966 30
30 1719 30
30 1813 65
30 2342 94
30 2347 40
30 2445 61
30 2694 2
30 2808 82
30 2980 62
30 3094 66
30 3203 79
30 3566 80
30 3644 18
30 4721 19
30 4803 43
31 32 89
31 270 89
31 387 82
31 788 51
31 815 95
31 840 51
31 894 88
31 1186 22
31 1233 59
31 1265 63
31 1387 98
31 1517 15
31 1839 15
31 2330 68
31 2625 64
31 2994 80
31 3121 55
31 3231 96
31 3252 39
31 3471 7
31 3667 70
31 3756 88
31 3930 82
31 4357 70
31 4713 54
32 57 70
32 69 52
32 93 46
32 182 23
32 270 28
32 298 4
32 415 79
32 488 14
32 502 38
32 581 76
32 607 21
32 796 85
32 817 3
32 852 84
32 861 15
32 1349 47
32 1445 86
32 1670 68
32 1676 37
32 1723 20
32 2196 75
32 2426 84
32 2699 77
32 3179 64
32 3215 27
32 3295 1
32 4184 91
32 4336 70
33 41 27
33 204 66
33 238 5
33 343 31
33 425 71
33 588 46
33 642 80
33 666 37
33 715 21
33 948 48
33 1023 80
33 1245 21
33 1255 98
33 1589 75
33 1840 96
33 1924 54
33 2223 16
33 2481 99
33 2534 93
33 3026 81
33 3585 44
33 4290 39
34 58 79
34 87 41
34 97 31
34 208 44
34 301 29
34 686 89
34 800 24
34 884 36
34 1114 65
34 1133 1
34 1160 8
34 1383 26
34 1799 43
34 2193 79
34 2547 91
34 2828 21
34 3059 54
34 3244 30
34 3278 9
34 3379 88
34 3905 62
34 3949 60
34 4161 74
34 4216 73
34 4272 68
34 4698 3
35 79 77
35 148 89
35 266 85
35 403 27
35 497 84
35 606 25
35 609 30
35 657 92
35 866 43
35 1163 92
35 1385 90
35 2006 46
35 2391 62
35 2749 10
35 3010 22
35 3712 42
35 4259 82
36 59 15
36 132 14
36 188 2
36 284 64
36 312 86
36 338 82
36 363 58
36 422 43
36 493 100
36 535 35
36 581 23
36 659 14
36 699 1
36 765 84
36 859 26
36 882 7
36 1062 72
36 1281 36
36 1308 56
36 1628 47
36 1695 97
36 1951 19
36 2079 70
36 3034 15
36 3234 98
36 3363 90
36 3582 86
36 3634 14
36 4134 99
36 4179 31
36 4198 74
37 108 48
37 318 82
37 330 88
37 602 100
37 1253 69
37 1501 2
37 1855 56
37 2390 79
37 3549 46
37 3685 36
37 3697 13
37 3877 25
37 4090 89
37 4190 80
38 49 23
38 78 52
38 92 67
38 144 54
38 165 35
38 210 79
38 263 62
38 334 75
38 373 87
38 376 12
38 388 40
38 401 80
38 403 36
38 417 23
38 537 23
38 538 25
38 573 39
38 612 67
38 622 60
38 704 78
38 713 87
38 764 2
38 781 66
38 829 74
38 929 59
38 935 42
38 1018 95
38 1040 58
38 1077 20
38 1276 11
38 1415 32
38 1551 79
38 1568 99
38 1613 43
38 1643 60
38 1659 6
38 1703 42
38 2231 56
38 2362 92
38 2385 76
38 2660 46
38 2689 5
38 2818 14
38 3076 61
38 3080 76
38 3243 57
38 3258 47
38 3318 8
38 3361 14
38 3393 90
38 3437 57
38 3441 56
38 3574 79
38 3672 90
38 3673 34
38 3700 38
38 3712 14
38 4080 40
38 4281 57
38 4286 35
38 4347 87
38 4364 96
38 4520 62
38 4566 72
38 4626 12
38 4866 22
39 68 45
39 77 27
39 85 47
39 96 49
39 116 14
39 137 35
39 173 95
39 184 20
39 222 22
39 234 85
39 300 2
39 331 38
39 347 63
39 382 97
39 392 57
39 451 28
39 480 95
39 589 38
39 648 28
39 695 3
39 740 36
39 769 82
39 780 2
39 794 31
39 855 68
39 902 23
39 905 25
39 1065 87
39 1103 36
39 1109 37
39 1122 52
39 1283 47
39 1301 63
39 1370 97
39 1469 47
39 1642 48
39 1699 80
39 1713 49
39 1725 24
39 1735 10
39 1788 28
39 2013 62
39 2148 72
39 2179 92
39 2311 56
39 2530 8
39 2554 45
39 2608 41
39 2964 51
39 3163 64
39 3300 69
39 3369 8
39 3552 26
39 3564 16
39 3578 36
39 3619 18
39 3768 70
39 4065 31
39 4091 82
39 4113 24
39 4115 8
39 4125 1
39 4154 16
39 4256 35
39 4527 32
39 4554 92
39 4685 68
39 4750 28
39 4765 41
39 4846 44
40 141 67
40 475 96
40 568 21
40 651 50
40 672 34
40 1264 41
40 1706 89
40 2110 61
40 2649 61
40 3460 28
40 3556 39
40 3725 31
40 4919 73
41 90 86
41 113 34
41 186 27
41 245 88
41 333 68
41 345 17
41 350 38
41 627 19
41 660 37
41 783 17
41 988 26
41 1284 11
41 1344 7
41 1426 57
41 1518 7
41 1890 55
41 2406 46
41 2409 32
41 2423 16
41 2961 99
41 3029 85
41 3749 27
42 46 52
42 205 62
42 517 77
42 674 48
42 1001 17
42 1377 30
42 1462 23
42 1472 49
42 1582 19
42 3332 96
42 3371 98
42 3466 25
43 55 4
43 71 37
43 123 92
43 154 73
43 191 30
43 228 32
43 246 55
43 250 49
43 466 56
43 521 11
43 646 86
43 712 56
43 718 99
43 724 20
43 810 95
43 850 90
43 951 83
43 1012 79
43 1257 49
43 1481 28
43 1482 79
43 1529 52
43 1587 47
43 1791 85
43 1869 25
43 1985 66
43 2128 85
43 2318 34
43 2322 23
43 3097 15
43 3115 25
43 3177 53
43 3449 25
43 3583 27
43 4042 44
43 4068 21
43 4132 18
43 4297 22
43 4390 84
43 4515 49
43 4595 28
43 4926 38
44 102 18
44 125 11
44 140 20
44 261 43
44 277 17
44 420 27
44 459 40
44 989 23
44 1200 95
44 1405 74
44 1428 16
44 1485 84
44 1695 23
44 1794 67
44 2183 13
44 2333 25
44 2353 50
44 2485 77
44 2518 72
44 2522 4
44 2684 64
44 2950 34
44 3006 55
44 3423 84
44 3469 19
44 3621 60
44 3938 98
44 3960 72
44 3990 86
44 4345 61
45 206 3
45 382 41
45 552 42
45 678 84
45 1289 40
45 2252 35
45 2942 64
45 3215 31
45 4112 43
46 247 67
46 379 33
46 711 5
46 813 90
46 883 66
46 1340 86
46 1422 30
46 1699 45
46 1808 28
46 2272 100
46 2494 17
46 2996 93
46 3175 44
46 3636 29
46 3772 52
46 4522 30
46 4681 11
47 50 52
47 59 74
47 99 56
47 142 67
47 319 41
47 452 89
47 571 87
47 591 87
47 643 95
47 934 14
47 952 66
47 979 10
47 1019 44
47 1558 37
47 1752 28
47 1761 45
47 1783 15
47 1881 19
47 2361 36
47 2452 96
47 2559 50
47 2612 14
47 2863 18
47 3002 27
47 3167 41
47 3579 97
47 3734 6
47 3803 4
47 4064 51
47 4149 89
47 4167 1
48 299 67
48 321 97
48 430 12
48 709 24
48 920 99
48 975 26
48 1061 54
48 1198 16
48 1524 2
48 1708 40
48 2082 41
48 2486 44
48 2673 25
48 3066 65
48 3625 68
48 3793 14
48 4837 62
49 95 45
49 719 62
49 1045 74
49 1151 13
49 1218 77
49 1826 10
49 1880 5
49 2064 86
49 2803 40
49 2949 72
49 3797 55
50 519 14
50 559 34
50 580 69
50 762 92
50 1011 28
50 1158 29
50 1251 51
50 1548 14
50 2261 18
50 2882 2
50 3400 33
50 3946 27
50 4157 76
50 4189 57
50 4559 61
51 53 11
51 124 29
51 163 94
51 221 90
51 229 67
51 394 9
51 604 39
51 653 6
51 753 95
51 771 81
51 1316 28
51 1360 40
51 1547 35
51 1591 36
51 1675 55
51 2063 3
51 2158 91
51 2422 20
51 2450 84
51 2538 3
51 2922 47
51 2941 15
51 3027 6
51 3051 81
51 3307 36
51 3512 79
51 3802 67
51 4003 95
51 4848 19
52 151 89
52 158 17
52 199 64
52 522 95
52 723 64
52 844 23
52 1013 76
52 1146 45
52 1526 5
52 1635 10
52 1716 66
52 2069 12
52 2353 22
52 2754 74
52 2994 8
52 3197 89
52 3404 31
52 3580 33
52 3808 93
52 4649 64
53 4925 80
54 66 44
54 87 68
54 201 65
54 236 68
54 414 100
54 755 5
54 761 42
54 786 11
54 948 60
54 1162 100
54 1333 95
54 1395 41
54 1412 62
54 2102 61
54 2219 79
54 2901 6
54 3132 58
54 3613 37
54 3743 7
54 3995 9
54 4088 100
54 4929 62
55 547 35
55 1634 62
56 228 88
56 241 23
56 245 63
56 346 87
56 381 41
56 498 54
56 779 11
56 973 58
56 1099 98
56 1508 34
56 1914 20
56 1956 66
56 2418 94
56 2985 53
56 3021 92
56 3251 78
56 3593 32
56 4236 62
57 85 37
57 644 7
57 729 90
57 823 69
57 1900 5
57 2849 66
57 2944 80
57 4397 1
57 4493 49
57 4594 41
58 185 1
58 219 98
58 2851 21
58 4965 67
59 72 70
59 80 77
59 118 63
59 197 85
59 198 82
59 311 33
59 317 91
59 444 22
59 553 69
59 564 81
59 721 21
59 739 13
59 828 50
59 851 23
59 871 40
59 963 95
59 1096 4
59 1162 83
59 1213 66
59 1224 24
59 1258 79
59 1504 67
59 1670 98
59 1674 50
59 1912 68
59 1981 89
59 2192 95
59 2276 55
59 2352 64
59 2611 84
59 2812 31
59 2970 68
59 3077 25
59 3164 79
59 3675 72
59 3816 10
59 3891 33
59 3964 14
59 3969 11
59 4095 2
59 4289 17
59 4428 15
59 4439 47
59 4468 18
59 4499 13
59 4711 96
